Sample,P,r0,t0,lda0,R,T
388,624.8,48.9,70.6,899.58,0.09597,0.90347
389,532.9,85.0,52.7,812.1,0.17217,0.80811
390,467.5,76.6,55.0,977.96,0.1185,0.878
391,565.0,85.3,40.8,871.96,0.15238,0.83668
392,566.9,112.2,70.9,980.79,0.20138,0.78609
393,620.3,56.8,76.5,575.3,0.17854,0.62009
394,527.5,83.0,81.8,642.81,0.21745,0.75547
395,477.6,107.5,45.3,516.42,0.16806,0.64601
396,547.4,65.7,53.6,735.81,0.12338,0.86256
397,546.4,115.2,70.4,923.13,0.2705,0.70913
398,643.9,62.0,98.2,962.42,0.08901,0.90978
399,511.0,91.5,68.1,559.97,0.14802,0.57009
400,537.4,82.8,92.6,643.57,0.19739,0.78111
401,545.3,33.6,75.9,663.07,0.1154,0.88305
402,509.3,44.5,51.6,448.73,0.09386,0.83686
403,623.6,83.9,73.8,424.11,0.10454,0.71803
404,470.4,83.7,48.5,489.05,0.13481,0.7381
405,602.0,119.8,70.3,687.33,0.13587,0.86076
406,551.4,36.8,70.8,973.4,0.08727,0.91246
407,578.9,56.7,99.7,432.01,0.06676,0.8325
408,452.9,77.2,58.5,911.2,0.12883,0.86647
409,529.4,85.4,86.6,307.87,0.01712,0.89269
410,476.4,95.6,61.3,657.41,0.38445,0.54922
411,617.5,48.0,69.4,310.78,0.00518,0.95302
412,623.1,106.4,63.8,571.32,0.20398,0.75477
413,633.6,105.9,50.2,525.75,0.14476,0.82165
414,555.3,91.4,44.9,707.11,0.22848,0.7319
415,587.0,62.4,44.3,799.94,0.11552,0.8808
416,575.3,85.7,44.4,518.38,0.14571,0.70796
417,485.5,89.1,68.7,886.99,0.15264,0.83875
418,556.3,90.0,62.1,550.66,0.07278,0.73822
419,620.7,84.0,83.2,519.63,0.12752,0.75629
420,596.3,108.0,77.1,919.14,0.20048,0.78346
421,606.6,91.1,45.9,348.99,0.01554,0.83929
422,613.1,32.9,54.2,941.63,0.09038,0.90949
423,472.8,60.8,66.9,390.77,0.02622,0.79346
424,643.5,53.4,47.8,881.9,0.10061,0.89866
425,540.8,84.1,99.6,605.64,0.10246,0.8785
426,476.6,118.9,76.9,424.0,0.00995,0.68628
427,493.2,97.5,76.0,410.01,0.0224,0.77084
428,645.1,110.9,41.9,809.37,0.21524,0.73304
429,528.8,106.6,70.2,598.56,0.11582,0.87021
430,525.4,116.2,72.6,738.21,0.68277,0.22389
431,520.8,83.3,71.1,303.25,0.00859,0.91364
432,458.0,110.1,93.8,675.28,0.74961,0.13073
433,548.4,58.6,60.5,520.99,0.13869,0.74897
434,588.1,58.8,66.5,992.53,0.09031,0.90878
435,455.9,94.4,69.2,573.87,0.1915,0.72887
436,529.6,87.1,43.5,987.97,0.13122,0.86346
437,453.4,67.9,52.8,970.0,0.10872,0.88886
438,617.7,68.0,76.3,478.09,0.10221,0.86747
439,499.1,102.0,61.1,424.43,0.10059,0.68446
440,561.2,118.5,96.6,755.92,0.69754,0.21436
441,568.9,77.7,47.5,369.29,0.06409,0.79109
442,458.8,47.0,48.6,972.71,0.09228,0.90707
443,558.3,53.0,71.0,352.13,0.03695,0.8657
444,597.3,71.9,56.4,475.7,0.11551,0.76715
445,641.6,51.1,79.8,744.48,0.10412,0.8917
446,621.4,102.2,59.6,528.98,0.15742,0.77538
447,534.9,110.8,48.0,625.12,0.1482,0.84535
448,539.2,71.0,87.3,917.34,0.10021,0.8971
449,460.5,72.1,50.4,598.64,0.21487,0.72543
450,478.1,66.2,46.2,349.63,0.02501,0.73553
451,538.0,38.2,47.3,475.09,0.10944,0.85772
452,570.2,103.0,52.6,439.23,0.08543,0.64526
453,464.5,101.6,83.6,316.02,0.01196,0.70586
454,597.7,42.1,90.9,371.26,0.03184,0.83488
455,620.8,79.4,99.6,393.38,0.06453,0.75736
456,556.1,109.9,63.1,884.22,0.28554,0.68726
457,495.7,102.1,42.2,625.63,0.18759,0.79224
458,513.7,59.6,74.7,885.11,0.10062,0.89771
459,536.2,64.2,69.5,349.71,0.0281,0.76557
460,586.0,118.9,50.7,803.0,0.58893,0.29466
461,485.8,65.5,88.9,453.11,0.10132,0.65726
462,474.5,117.7,50.7,314.17,0.05652,0.55548
463,565.7,47.9,95.8,528.5,0.09652,0.73488
464,631.8,41.1,90.2,880.55,0.0959,0.9037
465,466.1,98.7,50.4,706.19,0.69941,0.15458
466,621.3,95.5,51.8,788.07,0.65276,0.137
467,531.4,48.6,98.6,929.25,0.09065,0.90846
468,617.6,32.2,85.3,557.05,0.1208,0.86158
469,646.9,40.6,91.2,515.72,0.10407,0.84275
470,517.4,42.2,47.6,582.32,0.1191,0.8719
471,465.0,112.3,45.3,368.39,0.04208,0.7645
472,545.2,117.0,43.1,539.7,0.18614,0.53563
473,539.8,71.3,48.8,617.43,0.1301,0.86835
474,614.4,68.3,77.9,303.95,0.00502,0.84642
475,522.5,105.1,81.8,569.42,0.09212,0.60893
476,498.7,36.9,45.8,389.29,0.05797,0.89261
477,594.9,104.3,64.3,572.36,0.33771,0.29351
478,486.0,98.2,81.3,642.98,0.34375,0.59661
479,497.7,62.8,76.2,666.22,0.11755,0.80944
480,525.6,96.3,99.3,908.3,0.13917,0.85161
481,467.0,43.7,60.0,708.35,0.112,0.88574
482,537.4,77.3,75.8,325.46,0.02339,0.87425
483,582.2,74.9,97.0,883.55,0.09837,0.89805
484,462.1,73.9,44.0,811.07,0.14453,0.84535
485,457.1,85.8,59.0,813.06,0.18021,0.80258
486,519.7,119.0,98.2,459.38,0.01387,0.63615
487,647.9,116.3,81.6,775.38,0.19065,0.7958
488,567.7,120.0,96.0,423.17,0.00134,0.73029
489,514.9,90.9,73.9,871.65,0.1516,0.83814
490,569.2,44.9,75.6,595.71,0.10669,0.85727
491,560.9,78.7,55.9,545.97,0.13806,0.59313
492,642.5,79.8,87.3,693.98,0.10174,0.8948
493,480.5,62.6,78.6,867.14,0.10289,0.89462
494,582.3,101.3,43.2,500.18,0.15003,0.77764
495,490.3,86.6,64.6,681.0,0.6274,0.20583
496,534.1,44.4,53.3,861.6,0.10143,0.898
497,503.2,55.1,49.8,768.79,0.11365,0.88342
